Ngram,Correlation,specificatie
aan de kant,0.008870892166,
bedanken voor het,0.008870892166,
gelukkig hebben ik,0.008870892166,
", maar ook",0.008870892166,
ik zien er,0.008870892166,
gaan weer beginnen,0.008870892166,
. kunnen ik,0.008870892166,
worden weer een,0.008870892166,
zo leuk !,0.008870892166,
dat ik de,0.008870892166,
de één keer,0.008870892166,
zeker als het,0.008870892166,
in de vs,0.008870892166,
dit zijn zo,0.008870892166,
de bus naar,0.008870892166,
zijn nog niet,0.008870892166,
net zo goed,0.008870892166,
hebben op de,0.008870892166,
zijn ik toch,0.008870892166,
te weten .,0.008870892166,
om 8 uur,0.008870892166,
ik niet veel,0.008870892166,
. # treinleven,0.008870892166,
dan moeten je,0.008870892166,
vinden ik wel,0.008870892166,
dat zijn weer,0.008870892166,
van het #,0.008870892166,
en dan moeten,0.008870892166,
als ik de,0.008870892166,
kunnen niet wachten,0.008870892166,
weer een dag,0.008870892166,
dan kunnen je,0.008870892166,
😭 😭 😭,0.008870892166,
. komt goed,0.008870892166,
. dit zijn,0.008870892166,
", ik vinden",0.008870892166,
het maken van,0.008870892166,
", van de",0.008870892166,
ook . #,0.008870892166,
", dit zijn",0.008870892166,
""" wat zijn",0.008870892166,
ik zijn ziek,0.008870892166,
! ? !,0.008870892166,
# journaal #,0.008870892166,
http://someurl via @telegraaf,0.008870892166,
zijn je op,0.008870892166,
", die worden",0.008870892166,
# nos #,0.008870892166,
ook wel een,0.008870892166,
zeggen . ik,0.008870892166,
wel een goed,0.008870892166,
. wat hebben,0.008870892166,
de opening van,0.008870892166,
of zijn het,0.008870892166,
. # zinin,0.008870892166,
zijn ! !,0.008870892166,
op de radio,0.008870892166,
zijn op de,0.008870892166,
wat hebben we,0.008870892166,
nos # journaal,0.008870892166,
ik hebben er,0.008870892166,
", ik zullen",0.008870892166,
... wat een,0.008870892166,
te laat zijn,0.008870892166,
# dtv #,0.008870892166,
# vvd zijn,0.008870892166,
van het onderwijs,0.008870892166,
# vvd #,0.008870892166,
@nunl ) http://someurl,0.008870892166,
# humor #,0.008870892166,
weer een goed,0.008870892166,
zijn er niks,0.008870892166,
dat je niet,0.008870892166,
dat het maar,0.008870892166,
! ! #,0.007275212637,
ik ook !,0.006984344457,
zijn . http://someurl,0.006984344457,
nu zijn ik,0.006984344457,
zeggen dat ik,0.006984344457,
wat zijn de,0.006984344457,
nu kunnen ik,0.006984344457,
ik zijn zo,0.006984344457,
nog nooit zo,0.006984344457,
# picoftheday http://someurln,0.006984344457,
zin in !,0.005998377993,
van het jaar,0.005998377993,
zijn . #,0.005374359473,
van de #,0.005374359473,
ik vinden het,0.004937566374,
. het zijn,0.0003525113721,
", wat zijn",0.0003052151463,
het zijn een,0.0003052151463,
! wat een,0.0003052151463,
het ook niet,0.0002491511029,
weer een leuk,0.0002491511029,
ik zijn er,0.0002491511029,
in de medium,0.0002491511029,
kunnen ik niet,0.0002491511029,
die zeggen dat,0.0002491511029,
er zijn een,0.0002491511029,
om te weten,0.0002491511029,
dat ik het,0.0002491511029,
# dtv http://someurln,0.0002491511029,
je in de,0.0002491511029,
ik zien het,0.0002491511029,
# treinleven #,0.0002491511029,
dat ik morgen,0.0002491511029,
] metronieuws.nl http://someurl,0.0002491511029,
goed voor de,0.0002491511029,
zijn als ik,0.0002491511029,
in de zon,0.0002491511029,
vvd [ newline,0.0002491511029,
ook ! ik,0.0001761368486,
we zijn er,0.0001761368486,
de heel dag,-0.004626485798,
[ newline ],-0.005108331116,
? ! ?,-0.005338963774,
voor het één,-0.005338963774,
zijn weer een,-0.006427163032,
en ik hebben,-0.006427163032,
... [newline ],-0.006427163032,
bedanken voor de,-0.006427163032,
newline ] metronieuws.nl,-0.006427163032,
het zijn weer,-0.006427163032,
dat vinden ik,-0.006427163032,
en we zijn,-0.006427163032,
ik zullen het,-0.006427163032,
een heel goed,-0.006427163032,
dat zijn het,-0.006427163032,
newline ] http://someurl,-0.006549474328,
want het zijn,-0.008439398288,
dan zijn je,-0.008439398288,
niet veel in,-0.008439398288,
zijn echt de,-0.008439398288,
ja dat zijn,-0.008439398288,
het één in,-0.008439398288,
het einde van,-0.008439398288,
kunnen het niet,-0.008439398288,
zitten . #,-0.008439398288,
zoek naar een,-0.008439398288,
dat ik een,-0.008439398288,
in de wereld,-0.008439398288,
met al die,-0.008439398288,
wel heel erg,-0.008439398288,
van real madrid,-0.008439398288,
", ik kunnen",-0.008439398288,
maken . de,-0.008439398288,
wat zijn #,-0.008439398288,
aan het einde,-0.008439398288,
zijn je toch,-0.008439398288,
dan zijn het,-0.008439398288,
zien nu dat,-0.008439398288,
goed bezig zijn,-0.008439398288,
op voor de,-0.008439398288,
dat het goed,-0.008439398288,
blij dat ik,-0.008439398288,
! ! ik,-0.008439398288,
zijn de goed,-0.008439398288,
. ik hebben,-0.008439398288,
hebben wel een,-0.008439398288,
dan kunnen ik,-0.008439398288,
zijn er niet,-0.008439398288,
