Ngram,Correlation,specification
ontzettend,0.01937161343,
richting,0.01937161343,
als,0.0193091772,
nederland,0.01901548119,
ook,0.0189755746,
zeggen,0.01872410608,
he,0.01872249599,
duidelijk,0.01872249599,
vol,0.01872249599,
hard,0.01854147174,
bij,0.01853160271,
in,0.01815075266,
haar,0.01807858566,
nederlands,0.01777095764,
kiezen,0.01775975272,
lijn,0.01775975272,
tja,0.01775975272,
daarom,0.01775975272,
zitten,0.01743515815,
vader,0.01733571976,
stap,0.01733571976,
20,0.01733571976,
tekenen,0.01733571976,
dankzij,0.01733571976,
oorlog,0.01733571976,
vervelend,0.01733571976,
charliehebdo,0.01733571976,
jaja,0.01733571976,
winter,0.01733571976,
debat,0.01733571976,
kop,0.01733571976,
ondernemer,0.01733571976,
persoonlijk,0.01733571976,
missen,0.01665951619,
enkel,0.01651270308,
open,0.01651270308,
vergeten,0.01651270308,
pas,0.01626331979,
....,0.01625529722,
het,0.01599593322,
tijd,0.01588706804,
xd,0.01551207215,
bus,0.01551207215,
amai,0.01537520474,
enzo,0.01537520474,
buur,0.01537520474,
oog,0.01537520474,
storing,0.01537520474,
ineens,0.01537520474,
zalig,0.01537520474,
......,0.01537520474,
recht,0.01537520474,
min,0.01537520474,
gevoel,0.01537520474,
winst,0.01537520474,
@ziggowebcare,0.01537520474,
bekend,0.01537520474,
water,0.01537520474,
persoon,0.01537520474,
verbinding,0.01524198707,
strijd,0.01524198707,
reageren,0.01524198707,
schoon,0.01524198707,
alles,0.01516246821,
kind,0.01511329291,
nee,0.01475114239,
hè,0.01468703721,
les,0.01468703721,
door,0.0146116857,
tv,0.01399230197,
wk,0.01398570755,
hoofdpijn,0.01398570755,
komt,0.01398570755,
auto,0.01398570755,
sinds,0.01398570755,
duits,0.01398570755,
opstaan,0.01398570755,
nos,0.01398570755,
uiteraard,0.01398570755,
voorbeeld,0.01398570755,
8,0.01398570755,
zwaar,0.01398570755,
love,0.01398570755,
bedanken,0.01339737397,
widm,0.01293704909,
*,0.01293704909,
meteen,0.01293704909,
trots,0.01293704909,
vs,0.01293704909,
;,0.01288087728,
dit,0.01286591681,
zonder,0.01255743653,
plannen,0.01254956692,
economisch,0.01254956692,
favoriet,0.01254956692,
gast,0.01254956692,
dragen,0.01254956692,
bestellen,0.01254956692,
aanbieden,0.01254956692,
beloven,0.01254956692,
overal,0.01254956692,
vriendelijk,0.01254956692,
@enzoknol,0.01254956692,
qua,0.01254956692,
gezicht,0.01254956692,
fiets,0.01254956692,
steunen,0.01254956692,
voorbereiden,0.01254956692,
hulp,0.01254956692,
:p,0.01254956692,
kut,0.01254956692,
mevrouw,0.01254956692,
deur,0.01254956692,
vertrekken,0.01254956692,
journalist,0.01254956692,
zus,0.01254956692,
zetel,0.01254956692,
antwoord,0.01254956692,
spanning,0.01254956692,
vervangen,0.01254956692,
rekenen,0.01254956692,
bang,0.01254956692,
fietsen,0.01254956692,
abn,0.01254956692,
oor,0.01254956692,
punt,0.01211086095,
juist,0.01211086095,
politiek,0.01211086095,
nieuws,0.01211086095,
gemeente,0.01211086095,
tegen,0.01206640633,
dus,0.01204547692,
vragen,0.01134198873,
niks,0.01104870889,
euro,0.01095881637,
:-(,0.01095881637,
supporter,0.01095881637,
zaak,0.01095881637,
minister,0.01095881637,
wilders,0.01095881637,
ochtend,0.01095881637,
kabinet,0.01095881637,
dom,0.01095881637,
bestaan,0.01095881637,
god,0.01095881637,
bellen,0.01095881637,
zoiets,0.01095881637,
kid,0.01095881637,
veilig,0.01095881637,
vanuit,0.01095881637,
😒,0.01095881637,
😜,0.01095881637,
nice,0.01095881637,
[newline,0.01095881637,
klant,0.01095881637,
overheid,0.01095881637,
zomer,0.01095881637,
verkopen,0.01095881637,
probleem,0.01088014657,
examen,0.01088014657,
zon,0.01088014657,
nieuw,0.01035377252,
rijden,0.00999748115,
@ns_online,0.00999748115,
niveau,0.009882910912,
doe,0.009882910912,
eerlijk,0.009882910912,
koffie,0.009882910912,
zij,0.009882910912,
respect,0.009882910912,
man,0.009733256236,
vallen,0.009641360641,
ziggo,0.009095841803,
aardig,0.009095841803,
klinken,0.009095841803,
reclame,0.009095841803,
zelf,0.009048618104,
😝,0.008870892166,
albert,0.008870892166,
hey,0.008870892166,
mijn,0.008765758724,
snel,0.008573372953,
makkelijk,0.008489673421,
maandag,0.008489673421,
seizoen,0.008489673421,
grap,0.008489673421,
liggen,0.008182587879,
iedereen,0.008011876184,
tis,0.008005523868,
7,0.008005523868,
actie,0.008005523868,
nl,0.008005523868,
uit,0.007760594774,
👍,0.007608200033,
idee,0.007608200033,
we,0.007417131831,
voetbal,0.007275212637,
achter,0.006991435359,
fuck,0.006984344457,
reizen,0.006984344457,
wekker,0.006984344457,
toeval,0.006984344457,
afspreken,0.006984344457,
ne,0.006984344457,
fris,0.006984344457,
samenleving,0.006984344457,
keihard,0.006984344457,
prettig,0.006984344457,
onwijs,0.006984344457,
@postnl,0.006984344457,
stelen,0.006984344457,
mail,0.006984344457,
fles,0.006984344457,
rechts,0.006984344457,
blog,0.006984344457,
pijn,0.006984344457,
kritiek,0.006984344457,
merken,0.006984344457,
das,0.006984344457,
huiswerk,0.006984344457,
leuke,0.006984344457,
vechten,0.006984344457,
vooruitzicht,0.006984344457,
stage,0.006984344457,
centraal,0.006984344457,
gezin,0.006984344457,
picoftheday,0.006984344457,
drukken,0.006984344457,
gooi,0.006984344457,
life,0.006984344457,
leiden,0.006984344457,
sterkte,0.006984344457,
kanker,0.006984344457,
nie,0.006984344457,
los,0.006984344457,
wit,0.006984344457,
zoooo,0.006984344457,
drinken,0.006984344457,
verlaten,0.006984344457,
indrukwekkend,0.006984344457,
optreden,0.006984344457,
belachelijk,0.006984344457,
verdedigen,0.006984344457,
ivm,0.006984344457,
teveel,0.006984344457,
<3,0.006984344457,
kijk,0.006984344457,
donker,0.006984344457,
pfff,0.006984344457,
neus,0.006984344457,
@upc,0.006984344457,
irritant,0.006984344457,
perron,0.006984344457,
ambtenaar,0.006984344457,
ipv,0.006984344457,
geluid,0.006984344457,
spontaan,0.006984344457,
25,0.006984344457,
verkeer,0.006984344457,
cc,0.006984344457,
democratie,0.006984344457,
vent,0.006984344457,
11,0.006984344457,
sfeer,0.006984344457,
eruit,0.006984344457,
rome,0.006984344457,
😳,0.006984344457,
slaap,0.006984344457,
minuut,0.006746273375,
10,0.006343083124,
week,0.006323184288,
zoveel,0.006175007877,
mn,0.00602446127,
student,0.005998377993,
link,0.005998377993,
boer,0.005998377993,
dame,0.005998377993,
straat,0.005998377993,
40,0.005998377993,
waarschijnlijk,0.005998377993,
veranderen,0.005998377993,
stadion,0.005998377993,
zoon,0.005998377993,
16,0.005998377993,
piet,0.005998377993,
keeper,0.005998377993,
wonen,0.005998377993,
training,0.005998377993,
boeien,0.005998377993,
rij,0.005998377993,
scheidsrechter,0.005998377993,
oranje,0.005998377993,
aankomen,0.005998377993,
kant,0.005998377993,
maken,0.005600497338,
begrijpen,0.005374359473,
toets,0.005374359473,
luisteren,0.005374359473,
meisje,0.005374359473,
prijs,0.005374359473,
zwart,0.005374359473,
kamer,0.005374359473,
aflopen,0.005374359473,
keer,0.005371050349,
t,0.005217005514,
met,0.005120750374,
vd,0.004937566374,
burger,0.004937566374,
website,0.004937566374,
zet,0.004937566374,
blijken,0.004937566374,
boven,0.004937566374,
30,0.004937566374,
spannend,0.004937566374,
mogen,0.004777135393,
ooit,0.00461209539,
geloven,0.00461209539,
denken,0.004406906498,
oud,0.004359004716,
ge,0.004359004716,
zeer,0.004359004716,
bericht,0.004359004716,
€,0.004156011383,
dag,0.003993513157,
over,0.003990840579,
betalen,0.003989335493,
inderdaad,0.003989335493,
warm,0.003849944446,
vorig,0.003849944446,
zetten,0.003849944446,
ver,0.003731642507,
wedstrijd,0.003731642507,
lopen,0.003731642507,
wakker,0.003731642507,
twitter,0.003731642507,
nemen,0.003336441573,
straks,0.003282707434,
weg,0.003191326982,
naar,0.00309551278,
houden,0.002962539715,
moeten,0.002832743021,
geen,0.002787359071,
morgen,0.001370914828,
laat,0.001034745815,
3,0.0009545497721,
groot,0.00088547169,
ding,0.0006609770788,
ff,0.0006367895594,
vooral,0.0006367895594,
eerst,0.0006116694667,
helpen,0.0006116694667,
buiten,0.0006116694667,
avond,0.0006116694667,
elkaar,0.0005854967471,
vraag,0.0005854967471,
woord,0.0005581233,
gebeuren,0.0005581233,
😭,0.0005293628523,
muziek,0.0004989755875,
#ERROR!,0.0004989755875,
app,0.0004989755875,
wereld,0.0004989755875,
bzv,0.0004989755875,
doen,0.0004750799683,
brengen,0.000466643764,
>,0.000466643764,
schrijven,0.000466643764,
dik,0.000466643764,
artikel,0.0004319308835,
beeld,0.0004319308835,
medium,0.0004319308835,
stad,0.0004319308835,
soort,0.0004319308835,
hoog,0.0004319308835,
snap,0.0004319308835,
nummer,0.0003942083913,
flink,0.0003942083913,
april,0.0003942083913,
moeite,0.0003942083913,
held,0.0003942083913,
internet,0.0003942083913,
groep,0.0003942083913,
frans,0.0003942083913,
bron,0.0003525113721,
dood,0.0003525113721,
omg,0.0003525113721,
rekening,0.0003525113721,
sociaal,0.0003525113721,
engels,0.0003525113721,
ziekenhuis,0.0003525113721,
koop,0.0003525113721,
zodat,0.0003525113721,
jarig,0.0003525113721,
danken,0.0003525113721,
fifa,0.0003525113721,
dicht,0.0003525113721,
presentatie,0.0003525113721,
gesprek,0.0003525113721,
i,0.0003525113721,
aflevering,0.0003052151463,
13,0.0003052151463,
personeel,0.0003052151463,
erbij,0.0003052151463,
heeft,0.0003052151463,
der,0.0003052151463,
voorkomen,0.0003052151463,
voorlopig,0.0003052151463,
aandacht,0.0003052151463,
serie,0.0003052151463,
opeens,0.0003052151463,
waarop,0.0003052151463,
:d,0.0003052151463,
hangen,0.0003052151463,
oké,0.0003052151463,
column,0.0003052151463,
opening,0.0003052151463,
👏,0.0003052151463,
rug,0.0003052151463,
bedoelen,0.0003052151463,
lente,0.0003052151463,
meneer,0.0003052151463,
uitzien,0.0003052151463,
lees,0.0003052151463,
blatter,0.0003052151463,
mezelf,0.0003052151463,
scoren,0.0003052151463,
psv,0.0003052151463,
moet,0.0003052151463,
analyse,0.0003052151463,
been,0.0003052151463,
vreselijk,0.0003052151463,
hup,0.0003052151463,
spanje,0.0003052151463,
v&d,0.0003052151463,
schieten,0.0003052151463,
schoen,0.0003052151463,
ik,0.0002628363453,
bom,0.0002491511029,
aanslag,0.0002491511029,
:'),0.0002491511029,
jaar,-0.0006576362486,
mee,-0.0008177823451,
net,-0.0009061605307,
volgen,-0.001339371227,
hun,-0.001339371227,
allemaal,-0.001629222221,
horen,-0.001900489807,
lezen,-0.001900489807,
vrij,-0.002005279575,
eigenlijk,-0.002243866648,
hier,-0.002495934515,
onder,-0.002534196137,
nog,-0.002758623975,
er,-0.002837603551,
kennen,-0.002901475582,
gelijk,-0.002901475582,
gek,-0.003127230919,
tussen,-0.003127230919,
mooi,-0.003148881086,
laten,-0.003277666675,
[,-0.003343534305,
speler,-0.003392851514,
zaterdag,-0.003392851514,
treinleven,-0.003712858308,
lukken,-0.003712858308,
ga,-0.004110574804,
ontvangen,-0.004110574804,
fout,-0.004110574804,
lucht,-0.004110574804,
precies,-0.004110574804,
hand,-0.004110574804,
#ERROR!,-0.004110574804,
dezelfde,-0.004110574804,
voorbij,-0.004110574804,
pauw,-0.004110574804,
rt,-0.004112125951,
hoe,-0.004412324475,
tweet,-0.004431071084,
eerder,-0.004626485798,
ergens,-0.004626485798,
draaien,-0.004626485798,
trekken,-0.004626485798,
humor,-0.004626485798,
apple,-0.004626485798,
geleden,-0.004626485798,
storm,-0.004626485798,
familie,-0.004626485798,
kloppen,-0.004626485798,
upc,-0.004626485798,
kost,-0.004626485798,
donderdag,-0.004626485798,
waar,-0.004709301759,
4,-0.005021128967,
newline,-0.005108331116,
op,-0.005189494865,
stellen,-0.005338963774,
mogelijk,-0.005338963774,
behoorlijk,-0.005338963774,
wow,-0.005338963774,
korting,-0.005338963774,
welkom,-0.005338963774,
wensen,-0.005338963774,
😱,-0.005338963774,
s,-0.005338963774,
plek,-0.005338963774,
radio,-0.005338963774,
brand,-0.005338963774,
dak,-0.005338963774,
frankrijk,-0.005338963774,
was,-0.005338963774,
wanneer,-0.005522934441,
samen,-0.006158966037,
moment,-0.006158966037,
vrijdag,-0.006158966037,
kantoor,-0.006427163032,
rol,-0.006427163032,
bord,-0.006427163032,
iig,-0.006427163032,
neem,-0.006427163032,
doelpunt,-0.006427163032,
dienst,-0.006427163032,
advies,-0.006427163032,
denk,-0.006427163032,
daarvoor,-0.006427163032,
dm,-0.006427163032,
officieel,-0.006427163032,
hoeveel,-0.006427163032,
afspraak,-0.006427163032,
metronieuws.nl,-0.006427163032,
fan,-0.006427163032,
@arriva_nl,-0.006427163032,
plat,-0.006427163032,
kerk,-0.006427163032,
band,-0.006427163032,
mis,-0.006427163032,
stress,-0.006427163032,
stel,-0.006427163032,
leraar,-0.006427163032,
redden,-0.006427163032,
checken,-0.006427163032,
doorgaan,-0.006427163032,
datum,-0.006427163032,
gister,-0.006427163032,
kosten,-0.006427163032,
studie,-0.006427163032,
systeem,-0.006427163032,
bepalen,-0.006427163032,
arena,-0.006427163032,
a,-0.006427163032,
stom,-0.006427163032,
zwembad,-0.006427163032,
innovatie,-0.006427163032,
ondanks,-0.006427163032,
vogel,-0.006427163032,
dorp,-0.006427163032,
like,-0.006427163032,
overlijden,-0.006427163032,
dankjewel,-0.006427163032,
😴,-0.006427163032,
goeiemorgen,-0.006427163032,
islam,-0.006427163032,
tuin,-0.006427163032,
ruiken,-0.006427163032,
youtube,-0.006427163032,
zwarte,-0.006427163032,
😎,-0.006427163032,
schandalig,-0.006427163032,
proficiat,-0.006427163032,
enthousiast,-0.006427163032,
kheb,-0.006427163032,
bedrijf,-0.006427163032,
kleur,-0.006427163032,
van,-0.00652105806,
per,-0.006549474328,
prachtig,-0.006549474328,
terug,-0.006661408791,
slapen,-0.006661408791,
nu,-0.00677459723,
goedemorgen,-0.007007572693,
nacht,-0.007007572693,
thuis,-0.007137421187,
soms,-0.007556385893,
hoeven,-0.007556385893,
ieder,-0.007556385893,
spelen,-0.007703112668,
nodig,-0.008029586501,
klaar,-0.008029586501,
😁,-0.008231980036,
idd,-0.008231980036,
eh,-0.008231980036,
ni,-0.008231980036,
praten,-0.008231980036,
laptop,-0.008231980036,
not,-0.008231980036,
enig,-0.008231980036,
misschien,-0.008392654593,
],-0.008398867052,
☺,-0.008439398288,
",",-0.008477986125,
2,-0.008857542152,
deze,-0.008961609374,
9,-0.009094494129,
km,-0.009094494129,
dochter,-0.009094494129,
discussie,-0.009094494129,
the,-0.009261950482,
reactie,-0.009261950482,
jong,-0.009261950482,
af,-0.009281209043,
gewoon,-0.009460370462,
erg,-0.009658590376,
kaart,-0.009792286657,
heb,-0.009792286657,
gebruiken,-0.009792286657,
wij,-0.00992812111,
zinin,-0.01025379363,
rustig,-0.01025379363,
twente,-0.01025379363,
toekomst,-0.01025379363,
spel,-0.01025379363,
trouwens,-0.01025379363,
/,-0.01025379363,
klas,-0.01025379363,
hallo,-0.01025379363,
programma,-0.01025379363,
wil,-0.01025379363,
einde,-0.01025379363,
hopelijk,-0.01025379363,
noemen,-0.01025379363,
thanks,-0.01025379363,
kapot,-0.01025379363,
;-),-0.01029702292,
genoeg,-0.01041047322,
2015,-0.01070323501,
vakantie,-0.01070323501,
en,-0.01076649732,
zoals,-0.01114470774,
blijkbaar,-0.01114470774,
feyenoord,-0.01114470774,
haha,-0.01127032063,
na,-0.01127799444,
newline][newline,-0.01160940768,
zich,-0.01160940768,
slecht,-0.01165753835,
via,-0.0118864291,
cool,-0.01193913662,
lijst,-0.01193913662,
toezijn,-0.01193913662,
zometeen,-0.01193913662,
hmm,-0.01193913662,
